,agb_tha,yt_c,tdq_c,twq_c,tcq_c,yp_mm,wmp_mm,pet,ai,density_km2,bioge_realm,cont_id,continent,biome,n_samples,site_id
1531,118.07826693033165,9.665159057168399,16.065842937020694,5.309443111279432,3.989657834172249,1127.870588235294,129.01764705882354,1031.3882352941177,10803.364705882354,43883.36552941176,Palearctic,12,Europe,Temperate Broadleaf & Mixed Forests,170.0,16002.0
1532,123.8438311955853,10.204573564126457,16.400699722934778,6.904957858609482,4.696164379657155,1219.0281690140846,151.3661971830986,1060.8732394366198,11280.859154929578,40569.46971830986,Palearctic,12,Europe,Temperate Broadleaf & Mixed Forests,71.0,16009.0
1533,222.415484621028,13.379835094724383,18.397276946476527,11.723463109561376,8.653487852641515,1325.5892857142858,147.92857142857142,1076.642857142857,12353.732142857143,47257.85535714286,Palearctic,12,Europe,Temperate Broadleaf & Mixed Forests,56.0,16076.0
1534,121.07223474651674,11.5271809142449,17.413661846535742,8.074669529247835,6.191937358393146,927.6994219653179,98.38150289017341,1027.7976878612717,8950.537572254336,37860.66283236994,Palearctic,12,Europe,Temperate Broadleaf & Mixed Forests,173.0,16098.0
1535,111.38274727946425,11.735527818019573,17.36123303266672,9.3005882364053,6.50212726684717,878.5,95.25,1027.8557692307693,8423.759615384615,33891.30836538461,Palearctic,12,Europe,Temperate Broadleaf & Mixed Forests,104.0,16124.0
1536,238.19803046781743,12.732596564711185,17.772534788700572,10.876497469450298,8.059494294618306,942.4035087719299,104.87719298245614,1045.5438596491229,9022.052631578947,47349.96859649123,Palearctic,12,Europe,Temperate Broadleaf & Mixed Forests,57.0,16132.0
1537,197.41869915784622,12.666431421186866,17.214431925517758,9.272462048181673,8.519040302532476,1336.6036585365853,181.10365853658536,1029.1707317073171,12941.774390243903,57981.12865853658,Palearctic,12,Europe,Temperate Broadleaf & Mixed Forests,164.0,16136.0
1538,116.23172273858282,12.93056025125284,17.53378513640007,9.295378974053712,8.71879926192022,1415.8362831858408,196.97787610619469,1043.3185840707965,13554.977876106195,45100.99075221239,Palearctic,12,Europe,Temperate Broadleaf & Mixed Forests,226.0,16145.0
1539,54.31301787172311,13.683493160810627,17.79033673395876,10.611526442355798,9.857672034716996,1171.0983606557377,157.85245901639345,1041.8360655737704,11380.88524590164,48431.39737704919,Palearctic,12,Europe,Temperate Broadleaf & Mixed Forests,61.0,16150.0
1540,170.3574253593689,10.707209107404697,16.825873095118357,6.544951110542891,5.146235491701229,907.7065868263473,96.89820359281437,1024.317365269461,8667.479041916167,41796.94898203593,Palearctic,12,Europe,Temperate Broadleaf & Mixed Forests,167.0,16176.0
